restaurant_id,restaurant_name,location,cuisines,estimated_cost_for_two,rating,votes,cuisine_tags,budget_category
rest_000020,Chili's American Grill & Bar,Malleshwaram,"American, Tex-Mex, Burger, Bbq, Mexican",1400.0,4.8,6433,American|Tex-Mex|Burger|Bbq|Mexican,medium
rest_000021,The Black Pearl,Marathahalli,"North Indian, European, Mediterranean, Bbq",1500.0,4.8,7023,North Indian|European|Mediterranean|Bbq,medium
rest_000022,AB's - Absolute Barbecues,Whitefield,"European, Mediterranean, North Indian, Bbq",1600.0,4.8,2882,European|Mediterranean|North Indian|Bbq,high
rest_000023,Barbeque Nation,Jp Nagar,"North Indian, European, Mediterranean, Bbq, Kebab",1600.0,4.8,3864,North Indian|European|Mediterranean|Bbq|Kebab,high
rest_000024,AB's - Absolute Barbecues,Marathahalli,"European, Mediterranean, North Indian, Bbq",1600.0,4.8,12121,European|Mediterranean|North Indian|Bbq,high
rest_000025,The Boozy Griffin,Marathahalli,"European, Continental",1800.0,4.8,4696,European|Continental,high
rest_000026,Biergarten,Koramangala 5Th Block,"Continental, North Indian, Chinese, European, Bbq, Finger Food, Asian",2100.0,4.8,460,Continental|North Indian|Chinese|European|Bbq|Finger Food|Asian,high
rest_000027,Taaza Thindi,Banashankari,South Indian,100.0,4.7,651,South Indian,low
rest_000028,Kurtoskalacs,Koramangala 5Th Block,"Desserts, Fast Food",350.0,4.7,262,Desserts|Fast Food,low
rest_000029,Corner House Ice Cream,Indiranagar,"Ice Cream, Desserts",400.0,4.7,2139,Ice Cream|Desserts,low
rest_000030,Lot Like Crepes,Koramangala 7Th Block,"Cafe, Desserts, Continental",550.0,4.7,1022,Cafe|Desserts|Continental,medium
rest_000031,ECHOES Koramangala,Koramangala 5Th Block,"Chinese, American, Continental, Italian, North Indian",750.0,4.7,3197,Chinese|American|Continental|Italian|North Indian,medium
rest_000032,Truffles,Koramangala 5Th Block,"Cafe, American, Burger, Steak",900.0,4.7,14654,Cafe|American|Burger|Steak,medium
rest_000033,Truffles,New Bel Road,"Cafe, American, Burger, Steak",900.0,4.7,3912,Cafe|American|Burger|Steak,medium
rest_000034,TBC Sky Lounge,Hsr,"Continental, Asian, Italian, North Indian",1000.0,4.7,6745,Continental|Asian|Italian|North Indian,medium
rest_000035,House Of Commons,Hsr,"Continental, Asian, North Indian",1000.0,4.7,3573,Continental|Asian|North Indian,medium
rest_000036,Vanilla Sky,Hsr,"Chinese, Continental, North Indian, Finger Food",1200.0,4.7,798,Chinese|Continental|North Indian|Finger Food,medium
rest_000037,Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4.7,4639,North Indian|Thai|Japanese|Continental|Cafe,medium
rest_000038,Brew and Barbeque - A Microbrewery Pub,Marathahalli,"Continental, North Indian, Bbq, Steak",1400.0,4.7,5746,Continental|North Indian|Bbq|Steak,medium
rest_000039,The Black Pearl,Koramangala 5Th Block,"North Indian, European, Mediterranean",1400.0,4.7,10413,North Indian|European|Mediterranean,medium
rest_000040,AB's - Absolute Barbecues,Kalyan Nagar,"European, Mediterranean, North Indian, Bbq",1400.0,4.7,1697,European|Mediterranean|North Indian|Bbq,medium
rest_000041,Flechazo,Marathahalli,"Asian, Mediterranean, North Indian, Bbq",1400.0,4.7,7154,Asian|Mediterranean|North Indian|Bbq,medium
rest_000042,Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500.0,4.7,163,Goan|Asian|North Indian|European|Continental,medium
rest_000043,Communiti,Residency Road,"Continental, Bbq, Salad",1500.0,4.7,3894,Continental|Bbq|Salad,medium
